GUT_GENOME065705_1_1	1_1
GUT_GENOME065705_2_10	2_10
GUT_GENOME065705_2_11	2_11
GUT_GENOME065705_2_12	2_12
GUT_GENOME065705_2_13	2_13
GUT_GENOME065705_2_14	2_14
GUT_GENOME065705_2_15	2_15
GUT_GENOME065705_2_16	2_16
GUT_GENOME065705_2_17	2_17
GUT_GENOME065705_2_18	2_18
GUT_GENOME065705_2_19	2_19
GUT_GENOME065705_2_20	2_20
GUT_GENOME065705_2_21	2_21
GUT_GENOME065705_2_22	2_22
GUT_GENOME065705_2_23	2_23
GUT_GENOME065705_2_24	2_24
GUT_GENOME065705_2_25	2_25
GUT_GENOME065705_2_26	2_26
GUT_GENOME065705_2_27	2_27
GUT_GENOME065705_2_28	2_28
GUT_GENOME065705_2_29	2_29
GUT_GENOME065705_2_30	2_30
GUT_GENOME065705_2_31	2_31
GUT_GENOME065705_2_32	2_32
GUT_GENOME065705_2_33	2_33
GUT_GENOME065705_2_34	2_34
GUT_GENOME065705_2_35	2_35
GUT_GENOME065705_2_36	2_36
GUT_GENOME065705_2_37	2_37
GUT_GENOME065705_2_38	2_38
GUT_GENOME065705_2_39	2_39
GUT_GENOME065705_2_40	2_40
GUT_GENOME065705_2_41	2_41
GUT_GENOME065705_2_42	2_42
GUT_GENOME065705_2_43	2_43
GUT_GENOME065705_2_44	2_44
GUT_GENOME065705_2_45	2_45
GUT_GENOME065705_2_46	2_46
GUT_GENOME065705_3_1	3_1
GUT_GENOME065705_3_2	3_2
GUT_GENOME065705_3_3	3_3
GUT_GENOME065705_3_4	3_4
GUT_GENOME065705_3_5	3_5
GUT_GENOME065705_3_6	3_6
GUT_GENOME065705_3_7	3_7
GUT_GENOME065705_3_8	3_8
GUT_GENOME065705_3_9	3_9
GUT_GENOME065705_3_10	3_10
GUT_GENOME065705_3_11	3_11
GUT_GENOME065705_3_12	3_12
GUT_GENOME065705_3_13	3_13
GUT_GENOME065705_3_14	3_14
GUT_GENOME065705_3_15	3_15
GUT_GENOME065705_3_16	3_16
GUT_GENOME065705_3_17	3_17
GUT_GENOME065705_3_18	3_18
GUT_GENOME065705_3_19	3_19
GUT_GENOME065705_3_20	3_20
GUT_GENOME065705_3_21	3_21
GUT_GENOME065705_3_22	3_22
GUT_GENOME065705_3_23	3_23
GUT_GENOME065705_3_24	3_24
GUT_GENOME065705_3_25	3_25
GUT_GENOME065705_3_26	3_26
GUT_GENOME065705_3_27	3_27
GUT_GENOME065705_3_28	3_28
GUT_GENOME065705_3_29	3_29
GUT_GENOME065705_4_1	4_1
GUT_GENOME065705_4_2	4_2
GUT_GENOME065705_4_3	4_3
GUT_GENOME065705_4_4	4_4
GUT_GENOME065705_4_5	4_5
GUT_GENOME065705_4_6	4_6
GUT_GENOME065705_4_7	4_7
GUT_GENOME065705_4_8	4_8
GUT_GENOME065705_4_9	4_9
GUT_GENOME065705_4_10	4_10
GUT_GENOME065705_4_11	4_11
GUT_GENOME065705_4_12	4_12
GUT_GENOME065705_4_13	4_13
GUT_GENOME065705_4_14	4_14
GUT_GENOME065705_4_15	4_15
GUT_GENOME065705_4_16	4_16
GUT_GENOME065705_4_17	4_17
GUT_GENOME065705_4_18	4_18
GUT_GENOME065705_4_19	4_19
GUT_GENOME065705_4_20	4_20
GUT_GENOME065705_4_21	4_21
GUT_GENOME065705_4_22	4_22
GUT_GENOME065705_4_23	4_23
GUT_GENOME065705_4_24	4_24
GUT_GENOME065705_5_1	5_1
GUT_GENOME065705_5_2	5_2
GUT_GENOME065705_5_3	5_3
GUT_GENOME065705_5_4	5_4
GUT_GENOME065705_5_5	5_5
GUT_GENOME065705_5_6	5_6
GUT_GENOME065705_5_7	5_7
GUT_GENOME065705_5_8	5_8
GUT_GENOME065705_5_9	5_9
GUT_GENOME065705_5_10	5_10
GUT_GENOME065705_5_11	5_11
GUT_GENOME065705_5_12	5_12
GUT_GENOME065705_5_13	5_13
GUT_GENOME065705_5_14	5_14
GUT_GENOME065705_5_15	5_15
GUT_GENOME065705_5_16	5_16
GUT_GENOME065705_5_17	5_17
GUT_GENOME065705_5_18	5_18
GUT_GENOME065705_5_19	5_19
GUT_GENOME065705_5_20	5_20
GUT_GENOME065705_5_21	5_21
GUT_GENOME065705_5_22	5_22
GUT_GENOME065705_5_23	5_23
GUT_GENOME065705_5_24	5_24
GUT_GENOME065705_6_1	6_1
GUT_GENOME065705_6_2	6_2
GUT_GENOME065705_6_3	6_3
GUT_GENOME065705_6_4	6_4
GUT_GENOME065705_6_5	6_5
GUT_GENOME065705_6_6	6_6
GUT_GENOME065705_6_7	6_7
GUT_GENOME065705_6_8	6_8
GUT_GENOME065705_6_9	6_9
GUT_GENOME065705_6_10	6_10
GUT_GENOME065705_6_11	6_11
GUT_GENOME065705_6_12	6_12
GUT_GENOME065705_6_13	6_13
GUT_GENOME065705_6_14	6_14
GUT_GENOME065705_6_15	6_15
GUT_GENOME065705_6_16	6_16
GUT_GENOME065705_6_17	6_17
GUT_GENOME065705_6_18	6_18
GUT_GENOME065705_6_19	6_19
GUT_GENOME065705_6_20	6_20
GUT_GENOME065705_6_21	6_21
GUT_GENOME065705_6_22	6_22
GUT_GENOME065705_6_23	6_23
GUT_GENOME065705_6_24	6_24
GUT_GENOME065705_6_25	6_25
GUT_GENOME065705_6_26	6_26
GUT_GENOME065705_7_1	7_1
GUT_GENOME065705_7_2	7_2
GUT_GENOME065705_7_3	7_3
GUT_GENOME065705_7_4	7_4
GUT_GENOME065705_7_5	7_5
GUT_GENOME065705_7_6	7_6
GUT_GENOME065705_7_7	7_7
GUT_GENOME065705_7_8	7_8
GUT_GENOME065705_7_9	7_9
GUT_GENOME065705_7_10	7_10
GUT_GENOME065705_7_11	7_11
GUT_GENOME065705_7_12	7_12
GUT_GENOME065705_7_13	7_13
GUT_GENOME065705_7_14	7_14
GUT_GENOME065705_8_1	8_1
GUT_GENOME065705_8_2	8_2
GUT_GENOME065705_8_3	8_3
GUT_GENOME065705_8_4	8_4
GUT_GENOME065705_8_5	8_5
GUT_GENOME065705_8_6	8_6
GUT_GENOME065705_8_7	8_7
GUT_GENOME065705_8_8	8_8
GUT_GENOME065705_8_9	8_9
GUT_GENOME065705_8_10	8_10
GUT_GENOME065705_8_11	8_11
GUT_GENOME065705_8_12	8_12
GUT_GENOME065705_8_13	8_13
GUT_GENOME065705_8_14	8_14
GUT_GENOME065705_8_15	8_15
GUT_GENOME065705_8_16	8_16
GUT_GENOME065705_8_17	8_17
GUT_GENOME065705_8_18	8_18
GUT_GENOME065705_8_19	8_19
GUT_GENOME065705_8_20	8_20
GUT_GENOME065705_8_21	8_21
GUT_GENOME065705_9_1	9_1
GUT_GENOME065705_9_2	9_2
GUT_GENOME065705_9_3	9_3
GUT_GENOME065705_9_4	9_4
GUT_GENOME065705_9_5	9_5
GUT_GENOME065705_9_6	9_6
GUT_GENOME065705_9_7	9_7
GUT_GENOME065705_9_8	9_8
GUT_GENOME065705_9_9	9_9
GUT_GENOME065705_9_10	9_10
GUT_GENOME065705_9_11	9_11
GUT_GENOME065705_9_12	9_12
GUT_GENOME065705_9_13	9_13
GUT_GENOME065705_9_14	9_14
GUT_GENOME065705_9_15	9_15
GUT_GENOME065705_9_16	9_16
GUT_GENOME065705_9_17	9_17
GUT_GENOME065705_9_18	9_18
GUT_GENOME065705_10_1	10_1
GUT_GENOME065705_10_2	10_2
GUT_GENOME065705_10_3	10_3
GUT_GENOME065705_10_4	10_4
GUT_GENOME065705_10_5	10_5
GUT_GENOME065705_10_6	10_6
GUT_GENOME065705_10_7	10_7
GUT_GENOME065705_10_8	10_8
GUT_GENOME065705_10_9	10_9
GUT_GENOME065705_10_10	10_10
GUT_GENOME065705_10_11	10_11
GUT_GENOME065705_10_12	10_12
GUT_GENOME065705_10_13	10_13
GUT_GENOME065705_10_14	10_14
GUT_GENOME065705_10_15	10_15
GUT_GENOME065705_11_1	11_1
GUT_GENOME065705_11_2	11_2
GUT_GENOME065705_11_3	11_3
GUT_GENOME065705_11_4	11_4
GUT_GENOME065705_11_5	11_5
GUT_GENOME065705_11_6	11_6
GUT_GENOME065705_11_7	11_7
GUT_GENOME065705_11_8	11_8
GUT_GENOME065705_11_9	11_9
GUT_GENOME065705_11_10	11_10
GUT_GENOME065705_11_11	11_11
GUT_GENOME065705_11_12	11_12
GUT_GENOME065705_11_13	11_13
GUT_GENOME065705_11_14	11_14
GUT_GENOME065705_11_15	11_15
GUT_GENOME065705_11_16	11_16
GUT_GENOME065705_11_17	11_17
GUT_GENOME065705_11_18	11_18
GUT_GENOME065705_11_19	11_19
GUT_GENOME065705_11_20	11_20
GUT_GENOME065705_11_21	11_21
GUT_GENOME065705_12_1	12_1
GUT_GENOME065705_12_2	12_2
GUT_GENOME065705_12_3	12_3
GUT_GENOME065705_12_4	12_4
GUT_GENOME065705_12_5	12_5
GUT_GENOME065705_12_6	12_6
GUT_GENOME065705_12_7	12_7
GUT_GENOME065705_12_8	12_8
GUT_GENOME065705_12_9	12_9
GUT_GENOME065705_12_10	12_10
GUT_GENOME065705_12_11	12_11
GUT_GENOME065705_12_12	12_12
GUT_GENOME065705_12_13	12_13
GUT_GENOME065705_12_14	12_14
GUT_GENOME065705_12_15	12_15
GUT_GENOME065705_12_16	12_16
GUT_GENOME065705_12_17	12_17
GUT_GENOME065705_12_18	12_18
GUT_GENOME065705_13_1	13_1
GUT_GENOME065705_13_2	13_2
GUT_GENOME065705_13_3	13_3
GUT_GENOME065705_13_4	13_4
GUT_GENOME065705_13_5	13_5
GUT_GENOME065705_13_6	13_6
GUT_GENOME065705_13_7	13_7
GUT_GENOME065705_13_8	13_8
GUT_GENOME065705_13_9	13_9
GUT_GENOME065705_13_10	13_10
GUT_GENOME065705_13_11	13_11
GUT_GENOME065705_13_12	13_12
GUT_GENOME065705_13_13	13_13
GUT_GENOME065705_13_14	13_14
GUT_GENOME065705_13_15	13_15
GUT_GENOME065705_13_16	13_16
GUT_GENOME065705_13_17	13_17
GUT_GENOME065705_13_18	13_18
GUT_GENOME065705_13_19	13_19
GUT_GENOME065705_13_20	13_20
GUT_GENOME065705_13_21	13_21
GUT_GENOME065705_13_22	13_22
GUT_GENOME065705_14_1	14_1
GUT_GENOME065705_14_2	14_2
GUT_GENOME065705_14_3	14_3
GUT_GENOME065705_14_4	14_4
GUT_GENOME065705_14_5	14_5
GUT_GENOME065705_14_6	14_6
GUT_GENOME065705_14_7	14_7
GUT_GENOME065705_14_8	14_8
GUT_GENOME065705_14_9	14_9
GUT_GENOME065705_14_10	14_10
GUT_GENOME065705_14_11	14_11
GUT_GENOME065705_14_12	14_12
GUT_GENOME065705_14_13	14_13
GUT_GENOME065705_14_14	14_14
GUT_GENOME065705_14_15	14_15
GUT_GENOME065705_14_16	14_16
GUT_GENOME065705_14_17	14_17
GUT_GENOME065705_14_18	14_18
GUT_GENOME065705_14_19	14_19
GUT_GENOME065705_14_20	14_20
GUT_GENOME065705_14_21	14_21
GUT_GENOME065705_14_22	14_22
GUT_GENOME065705_14_23	14_23
GUT_GENOME065705_14_24	14_24
GUT_GENOME065705_14_25	14_25
GUT_GENOME065705_15_1	15_1
GUT_GENOME065705_15_2	15_2
GUT_GENOME065705_15_3	15_3
GUT_GENOME065705_15_4	15_4
GUT_GENOME065705_15_5	15_5
GUT_GENOME065705_15_6	15_6
GUT_GENOME065705_15_7	15_7
GUT_GENOME065705_15_8	15_8
GUT_GENOME065705_15_9	15_9
GUT_GENOME065705_15_10	15_10
GUT_GENOME065705_15_11	15_11
GUT_GENOME065705_15_12	15_12
GUT_GENOME065705_15_13	15_13
GUT_GENOME065705_16_1	16_1
GUT_GENOME065705_16_2	16_2
GUT_GENOME065705_16_3	16_3
GUT_GENOME065705_16_4	16_4
GUT_GENOME065705_16_5	16_5
GUT_GENOME065705_16_6	16_6
GUT_GENOME065705_16_7	16_7
GUT_GENOME065705_16_8	16_8
GUT_GENOME065705_16_9	16_9
GUT_GENOME065705_16_10	16_10
GUT_GENOME065705_16_11	16_11
GUT_GENOME065705_16_12	16_12
GUT_GENOME065705_16_13	16_13
GUT_GENOME065705_16_14	16_14
GUT_GENOME065705_16_15	16_15
GUT_GENOME065705_16_16	16_16
GUT_GENOME065705_17_1	17_1
GUT_GENOME065705_17_2	17_2
GUT_GENOME065705_17_3	17_3
GUT_GENOME065705_17_4	17_4
GUT_GENOME065705_17_5	17_5
GUT_GENOME065705_17_6	17_6
GUT_GENOME065705_17_7	17_7
GUT_GENOME065705_17_8	17_8
GUT_GENOME065705_17_9	17_9
GUT_GENOME065705_17_10	17_10
GUT_GENOME065705_17_11	17_11
GUT_GENOME065705_17_12	17_12
GUT_GENOME065705_17_13	17_13
GUT_GENOME065705_17_14	17_14
GUT_GENOME065705_17_15	17_15
GUT_GENOME065705_17_16	17_16
GUT_GENOME065705_17_17	17_17
GUT_GENOME065705_17_18	17_18
GUT_GENOME065705_17_19	17_19
GUT_GENOME065705_17_20	17_20
GUT_GENOME065705_17_21	17_21
GUT_GENOME065705_18_1	18_1
GUT_GENOME065705_18_2	18_2
GUT_GENOME065705_18_3	18_3
GUT_GENOME065705_18_4	18_4
GUT_GENOME065705_18_5	18_5
GUT_GENOME065705_18_6	18_6
GUT_GENOME065705_18_7	18_7
GUT_GENOME065705_18_8	18_8
GUT_GENOME065705_18_9	18_9
GUT_GENOME065705_18_10	18_10
GUT_GENOME065705_18_11	18_11
GUT_GENOME065705_18_12	18_12
GUT_GENOME065705_18_13	18_13
GUT_GENOME065705_18_14	18_14
GUT_GENOME065705_18_15	18_15
GUT_GENOME065705_19_1	19_1
GUT_GENOME065705_19_2	19_2
GUT_GENOME065705_19_3	19_3
GUT_GENOME065705_19_4	19_4
GUT_GENOME065705_19_5	19_5
GUT_GENOME065705_19_6	19_6
GUT_GENOME065705_19_7	19_7
GUT_GENOME065705_19_8	19_8
GUT_GENOME065705_19_9	19_9
GUT_GENOME065705_19_10	19_10
GUT_GENOME065705_19_11	19_11
GUT_GENOME065705_19_12	19_12
GUT_GENOME065705_19_13	19_13
GUT_GENOME065705_19_14	19_14
GUT_GENOME065705_19_15	19_15
GUT_GENOME065705_20_1	20_1
GUT_GENOME065705_20_2	20_2
GUT_GENOME065705_20_3	20_3
GUT_GENOME065705_20_4	20_4
GUT_GENOME065705_20_5	20_5
GUT_GENOME065705_20_6	20_6
GUT_GENOME065705_20_7	20_7
GUT_GENOME065705_20_8	20_8
GUT_GENOME065705_20_9	20_9
GUT_GENOME065705_20_10	20_10
GUT_GENOME065705_20_11	20_11
GUT_GENOME065705_20_12	20_12
GUT_GENOME065705_20_13	20_13
GUT_GENOME065705_20_14	20_14
GUT_GENOME065705_20_15	20_15
GUT_GENOME065705_21_1	21_1
GUT_GENOME065705_21_2	21_2
GUT_GENOME065705_21_3	21_3
GUT_GENOME065705_21_4	21_4
GUT_GENOME065705_21_5	21_5
GUT_GENOME065705_21_6	21_6
GUT_GENOME065705_21_7	21_7
GUT_GENOME065705_21_8	21_8
GUT_GENOME065705_21_9	21_9
GUT_GENOME065705_21_10	21_10
GUT_GENOME065705_21_11	21_11
GUT_GENOME065705_21_12	21_12
GUT_GENOME065705_21_13	21_13
GUT_GENOME065705_21_14	21_14
GUT_GENOME065705_21_15	21_15
GUT_GENOME065705_21_16	21_16
GUT_GENOME065705_21_17	21_17
GUT_GENOME065705_21_18	21_18
GUT_GENOME065705_21_19	21_19
GUT_GENOME065705_21_20	21_20
GUT_GENOME065705_22_1	22_1
GUT_GENOME065705_22_2	22_2
GUT_GENOME065705_22_3	22_3
GUT_GENOME065705_22_4	22_4
GUT_GENOME065705_22_5	22_5
GUT_GENOME065705_22_6	22_6
GUT_GENOME065705_22_7	22_7
GUT_GENOME065705_22_8	22_8
GUT_GENOME065705_22_9	22_9
GUT_GENOME065705_22_10	22_10
GUT_GENOME065705_22_11	22_11
GUT_GENOME065705_22_12	22_12
GUT_GENOME065705_23_1	23_1
GUT_GENOME065705_23_2	23_2
GUT_GENOME065705_23_3	23_3
GUT_GENOME065705_23_4	23_4
GUT_GENOME065705_23_5	23_5
GUT_GENOME065705_23_6	23_6
GUT_GENOME065705_23_7	23_7
GUT_GENOME065705_23_8	23_8
GUT_GENOME065705_23_9	23_9
GUT_GENOME065705_23_10	23_10
GUT_GENOME065705_23_11	23_11
GUT_GENOME065705_23_12	23_12
GUT_GENOME065705_23_13	23_13
GUT_GENOME065705_23_14	23_14
GUT_GENOME065705_24_1	24_1
GUT_GENOME065705_24_2	24_2
GUT_GENOME065705_24_3	24_3
GUT_GENOME065705_24_4	24_4
GUT_GENOME065705_24_5	24_5
GUT_GENOME065705_24_6	24_6
GUT_GENOME065705_24_7	24_7
GUT_GENOME065705_24_8	24_8
GUT_GENOME065705_24_9	24_9
GUT_GENOME065705_24_10	24_10
GUT_GENOME065705_24_11	24_11
GUT_GENOME065705_24_12	24_12
GUT_GENOME065705_24_13	24_13
GUT_GENOME065705_24_14	24_14
GUT_GENOME065705_24_15	24_15
GUT_GENOME065705_25_1	25_1
GUT_GENOME065705_25_2	25_2
GUT_GENOME065705_25_3	25_3
GUT_GENOME065705_25_4	25_4
GUT_GENOME065705_25_5	25_5
GUT_GENOME065705_25_6	25_6
GUT_GENOME065705_25_7	25_7
GUT_GENOME065705_25_8	25_8
GUT_GENOME065705_25_9	25_9
GUT_GENOME065705_25_10	25_10
GUT_GENOME065705_25_11	25_11
GUT_GENOME065705_25_12	25_12
GUT_GENOME065705_25_13	25_13
GUT_GENOME065705_25_14	25_14
GUT_GENOME065705_26_1	26_1
GUT_GENOME065705_26_2	26_2
GUT_GENOME065705_26_3	26_3
GUT_GENOME065705_26_4	26_4
GUT_GENOME065705_26_5	26_5
GUT_GENOME065705_26_6	26_6
GUT_GENOME065705_26_7	26_7
GUT_GENOME065705_26_8	26_8
GUT_GENOME065705_26_9	26_9
GUT_GENOME065705_26_10	26_10
GUT_GENOME065705_26_11	26_11
GUT_GENOME065705_26_12	26_12
GUT_GENOME065705_27_1	27_1
GUT_GENOME065705_27_2	27_2
GUT_GENOME065705_27_3	27_3
GUT_GENOME065705_27_4	27_4
GUT_GENOME065705_27_5	27_5
GUT_GENOME065705_27_6	27_6
GUT_GENOME065705_27_7	27_7
GUT_GENOME065705_27_8	27_8
GUT_GENOME065705_27_9	27_9
GUT_GENOME065705_27_10	27_10
GUT_GENOME065705_27_11	27_11
GUT_GENOME065705_27_12	27_12
GUT_GENOME065705_27_13	27_13
GUT_GENOME065705_27_14	27_14
GUT_GENOME065705_28_1	28_1
GUT_GENOME065705_28_2	28_2
GUT_GENOME065705_28_3	28_3
GUT_GENOME065705_28_4	28_4
GUT_GENOME065705_28_5	28_5
GUT_GENOME065705_28_6	28_6
GUT_GENOME065705_28_7	28_7
GUT_GENOME065705_28_8	28_8
GUT_GENOME065705_28_9	28_9
GUT_GENOME065705_28_10	28_10
GUT_GENOME065705_28_11	28_11
GUT_GENOME065705_28_12	28_12
GUT_GENOME065705_28_13	28_13
GUT_GENOME065705_28_14	28_14
GUT_GENOME065705_28_15	28_15
GUT_GENOME065705_28_16	28_16
GUT_GENOME065705_28_17	28_17
GUT_GENOME065705_29_1	29_1
GUT_GENOME065705_29_2	29_2
GUT_GENOME065705_29_3	29_3
GUT_GENOME065705_29_4	29_4
GUT_GENOME065705_29_5	29_5
GUT_GENOME065705_29_6	29_6
GUT_GENOME065705_29_7	29_7
GUT_GENOME065705_29_8	29_8
GUT_GENOME065705_29_9	29_9
GUT_GENOME065705_29_10	29_10
GUT_GENOME065705_29_11	29_11
GUT_GENOME065705_29_12	29_12
GUT_GENOME065705_30_1	30_1
GUT_GENOME065705_30_2	30_2
GUT_GENOME065705_30_3	30_3
GUT_GENOME065705_30_4	30_4
GUT_GENOME065705_30_5	30_5
GUT_GENOME065705_30_6	30_6
GUT_GENOME065705_30_7	30_7
GUT_GENOME065705_30_8	30_8
GUT_GENOME065705_30_9	30_9
GUT_GENOME065705_30_10	30_10
GUT_GENOME065705_30_11	30_11
GUT_GENOME065705_30_12	30_12
GUT_GENOME065705_31_1	31_1
GUT_GENOME065705_31_2	31_2
GUT_GENOME065705_31_3	31_3
GUT_GENOME065705_31_4	31_4
GUT_GENOME065705_31_5	31_5
GUT_GENOME065705_31_6	31_6
GUT_GENOME065705_31_7	31_7
GUT_GENOME065705_31_8	31_8
GUT_GENOME065705_31_9	31_9
GUT_GENOME065705_31_10	31_10
GUT_GENOME065705_31_11	31_11
GUT_GENOME065705_31_12	31_12
GUT_GENOME065705_31_13	31_13
GUT_GENOME065705_32_1	32_1
GUT_GENOME065705_32_2	32_2
GUT_GENOME065705_32_3	32_3
GUT_GENOME065705_32_4	32_4
GUT_GENOME065705_32_5	32_5
GUT_GENOME065705_32_6	32_6
GUT_GENOME065705_32_7	32_7
GUT_GENOME065705_32_8	32_8
GUT_GENOME065705_32_9	32_9
GUT_GENOME065705_32_10	32_10
GUT_GENOME065705_32_11	32_11
GUT_GENOME065705_32_12	32_12
GUT_GENOME065705_32_13	32_13
GUT_GENOME065705_33_1	33_1
GUT_GENOME065705_33_2	33_2
GUT_GENOME065705_33_3	33_3
GUT_GENOME065705_33_4	33_4
GUT_GENOME065705_33_5	33_5
GUT_GENOME065705_33_6	33_6
GUT_GENOME065705_33_7	33_7
GUT_GENOME065705_33_8	33_8
GUT_GENOME065705_33_9	33_9
GUT_GENOME065705_33_10	33_10
GUT_GENOME065705_33_11	33_11
GUT_GENOME065705_33_12	33_12
GUT_GENOME065705_33_13	33_13
GUT_GENOME065705_33_14	33_14
GUT_GENOME065705_34_1	34_1
GUT_GENOME065705_34_2	34_2
GUT_GENOME065705_34_3	34_3
GUT_GENOME065705_34_4	34_4
GUT_GENOME065705_34_5	34_5
GUT_GENOME065705_34_6	34_6
GUT_GENOME065705_34_7	34_7
GUT_GENOME065705_34_8	34_8
GUT_GENOME065705_34_9	34_9
GUT_GENOME065705_34_10	34_10
GUT_GENOME065705_34_11	34_11
GUT_GENOME065705_34_12	34_12
GUT_GENOME065705_34_13	34_13
GUT_GENOME065705_35_1	35_1
GUT_GENOME065705_35_2	35_2
GUT_GENOME065705_35_3	35_3
GUT_GENOME065705_35_4	35_4
GUT_GENOME065705_35_5	35_5
GUT_GENOME065705_35_6	35_6
GUT_GENOME065705_35_7	35_7
GUT_GENOME065705_35_8	35_8
GUT_GENOME065705_35_9	35_9
GUT_GENOME065705_35_10	35_10
GUT_GENOME065705_36_1	36_1
GUT_GENOME065705_36_2	36_2
GUT_GENOME065705_36_3	36_3
GUT_GENOME065705_36_4	36_4
GUT_GENOME065705_36_5	36_5
GUT_GENOME065705_36_6	36_6
GUT_GENOME065705_36_7	36_7
GUT_GENOME065705_36_8	36_8
GUT_GENOME065705_36_9	36_9
GUT_GENOME065705_36_10	36_10
GUT_GENOME065705_36_11	36_11
GUT_GENOME065705_36_12	36_12
GUT_GENOME065705_37_1	37_1
GUT_GENOME065705_37_2	37_2
GUT_GENOME065705_37_3	37_3
GUT_GENOME065705_37_4	37_4
GUT_GENOME065705_37_5	37_5
GUT_GENOME065705_37_6	37_6
GUT_GENOME065705_37_7	37_7
GUT_GENOME065705_37_8	37_8
GUT_GENOME065705_37_9	37_9
GUT_GENOME065705_37_10	37_10
GUT_GENOME065705_37_11	37_11
GUT_GENOME065705_37_12	37_12
GUT_GENOME065705_38_1	38_1
GUT_GENOME065705_38_2	38_2
GUT_GENOME065705_38_3	38_3
GUT_GENOME065705_38_4	38_4
GUT_GENOME065705_38_5	38_5
GUT_GENOME065705_38_6	38_6
GUT_GENOME065705_38_7	38_7
GUT_GENOME065705_38_8	38_8
GUT_GENOME065705_38_9	38_9
GUT_GENOME065705_38_10	38_10
GUT_GENOME065705_38_11	38_11
GUT_GENOME065705_39_1	39_1
GUT_GENOME065705_39_2	39_2
GUT_GENOME065705_39_3	39_3
GUT_GENOME065705_39_4	39_4
GUT_GENOME065705_39_5	39_5
GUT_GENOME065705_39_6	39_6
GUT_GENOME065705_39_7	39_7
GUT_GENOME065705_39_8	39_8
GUT_GENOME065705_39_9	39_9
GUT_GENOME065705_39_10	39_10
GUT_GENOME065705_39_11	39_11
GUT_GENOME065705_39_12	39_12
GUT_GENOME065705_39_13	39_13
GUT_GENOME065705_40_1	40_1
GUT_GENOME065705_40_2	40_2
GUT_GENOME065705_40_3	40_3
GUT_GENOME065705_40_4	40_4
GUT_GENOME065705_40_5	40_5
GUT_GENOME065705_40_6	40_6
GUT_GENOME065705_40_7	40_7
GUT_GENOME065705_40_8	40_8
GUT_GENOME065705_40_9	40_9
GUT_GENOME065705_40_10	40_10
GUT_GENOME065705_41_1	41_1
GUT_GENOME065705_41_2	41_2
GUT_GENOME065705_41_3	41_3
GUT_GENOME065705_41_4	41_4
GUT_GENOME065705_41_5	41_5
GUT_GENOME065705_41_6	41_6
GUT_GENOME065705_41_7	41_7
GUT_GENOME065705_42_1	42_1
