1_1	GUT_GENOME141191_1_1
7_31	GUT_GENOME141191_7_31
7_32	GUT_GENOME141191_7_32
7_33	GUT_GENOME141191_7_33
7_34	GUT_GENOME141191_7_34
7_35	GUT_GENOME141191_7_35
7_36	GUT_GENOME141191_7_36
7_37	GUT_GENOME141191_7_37
7_38	GUT_GENOME141191_7_38
7_39	GUT_GENOME141191_7_39
7_40	GUT_GENOME141191_7_40
7_41	GUT_GENOME141191_7_41
7_42	GUT_GENOME141191_7_42
7_43	GUT_GENOME141191_7_43
7_44	GUT_GENOME141191_7_44
7_45	GUT_GENOME141191_7_45
7_46	GUT_GENOME141191_7_46
7_47	GUT_GENOME141191_7_47
7_48	GUT_GENOME141191_7_48
7_49	GUT_GENOME141191_7_49
7_50	GUT_GENOME141191_7_50
7_51	GUT_GENOME141191_7_51
7_52	GUT_GENOME141191_7_52
7_53	GUT_GENOME141191_7_53
7_54	GUT_GENOME141191_7_54
7_55	GUT_GENOME141191_7_55
7_56	GUT_GENOME141191_7_56
7_57	GUT_GENOME141191_7_57
7_58	GUT_GENOME141191_7_58
8_1	GUT_GENOME141191_8_1
8_2	GUT_GENOME141191_8_2
8_3	GUT_GENOME141191_8_3
8_4	GUT_GENOME141191_8_4
8_5	GUT_GENOME141191_8_5
8_6	GUT_GENOME141191_8_6
8_7	GUT_GENOME141191_8_7
8_8	GUT_GENOME141191_8_8
8_9	GUT_GENOME141191_8_9
8_10	GUT_GENOME141191_8_10
8_11	GUT_GENOME141191_8_11
8_12	GUT_GENOME141191_8_12
8_13	GUT_GENOME141191_8_13
8_14	GUT_GENOME141191_8_14
8_15	GUT_GENOME141191_8_15
8_16	GUT_GENOME141191_8_16
8_17	GUT_GENOME141191_8_17
8_18	GUT_GENOME141191_8_18
8_19	GUT_GENOME141191_8_19
8_20	GUT_GENOME141191_8_20
8_21	GUT_GENOME141191_8_21
8_22	GUT_GENOME141191_8_22
8_23	GUT_GENOME141191_8_23
8_24	GUT_GENOME141191_8_24
8_25	GUT_GENOME141191_8_25
8_26	GUT_GENOME141191_8_26
8_27	GUT_GENOME141191_8_27
8_28	GUT_GENOME141191_8_28
8_29	GUT_GENOME141191_8_29
8_30	GUT_GENOME141191_8_30
8_31	GUT_GENOME141191_8_31
8_32	GUT_GENOME141191_8_32
9_1	GUT_GENOME141191_9_1
9_2	GUT_GENOME141191_9_2
9_3	GUT_GENOME141191_9_3
9_4	GUT_GENOME141191_9_4
9_5	GUT_GENOME141191_9_5
9_6	GUT_GENOME141191_9_6
9_7	GUT_GENOME141191_9_7
9_8	GUT_GENOME141191_9_8
9_9	GUT_GENOME141191_9_9
9_10	GUT_GENOME141191_9_10
9_11	GUT_GENOME141191_9_11
9_12	GUT_GENOME141191_9_12
9_13	GUT_GENOME141191_9_13
9_14	GUT_GENOME141191_9_14
9_15	GUT_GENOME141191_9_15
9_16	GUT_GENOME141191_9_16
9_17	GUT_GENOME141191_9_17
9_18	GUT_GENOME141191_9_18
9_19	GUT_GENOME141191_9_19
9_20	GUT_GENOME141191_9_20
9_21	GUT_GENOME141191_9_21
9_22	GUT_GENOME141191_9_22
9_23	GUT_GENOME141191_9_23
9_24	GUT_GENOME141191_9_24
9_25	GUT_GENOME141191_9_25
9_26	GUT_GENOME141191_9_26
9_27	GUT_GENOME141191_9_27
9_28	GUT_GENOME141191_9_28
9_29	GUT_GENOME141191_9_29
9_30	GUT_GENOME141191_9_30
9_31	GUT_GENOME141191_9_31
9_32	GUT_GENOME141191_9_32
9_33	GUT_GENOME141191_9_33
9_34	GUT_GENOME141191_9_34
9_35	GUT_GENOME141191_9_35
9_36	GUT_GENOME141191_9_36
9_37	GUT_GENOME141191_9_37
9_38	GUT_GENOME141191_9_38
9_39	GUT_GENOME141191_9_39
9_40	GUT_GENOME141191_9_40
9_41	GUT_GENOME141191_9_41
10_1	GUT_GENOME141191_10_1
10_2	GUT_GENOME141191_10_2
10_3	GUT_GENOME141191_10_3
10_4	GUT_GENOME141191_10_4
10_5	GUT_GENOME141191_10_5
10_6	GUT_GENOME141191_10_6
10_7	GUT_GENOME141191_10_7
10_8	GUT_GENOME141191_10_8
11_1	GUT_GENOME141191_11_1
11_2	GUT_GENOME141191_11_2
11_3	GUT_GENOME141191_11_3
11_4	GUT_GENOME141191_11_4
11_5	GUT_GENOME141191_11_5
11_6	GUT_GENOME141191_11_6
11_7	GUT_GENOME141191_11_7
11_8	GUT_GENOME141191_11_8
11_9	GUT_GENOME141191_11_9
11_10	GUT_GENOME141191_11_10
11_11	GUT_GENOME141191_11_11
11_12	GUT_GENOME141191_11_12
11_13	GUT_GENOME141191_11_13
11_14	GUT_GENOME141191_11_14
11_15	GUT_GENOME141191_11_15
11_16	GUT_GENOME141191_11_16
11_17	GUT_GENOME141191_11_17
11_18	GUT_GENOME141191_11_18
11_19	GUT_GENOME141191_11_19
12_1	GUT_GENOME141191_12_1
12_2	GUT_GENOME141191_12_2
12_3	GUT_GENOME141191_12_3
12_4	GUT_GENOME141191_12_4
12_5	GUT_GENOME141191_12_5
12_6	GUT_GENOME141191_12_6
12_7	GUT_GENOME141191_12_7
12_8	GUT_GENOME141191_12_8
12_9	GUT_GENOME141191_12_9
12_10	GUT_GENOME141191_12_10
12_11	GUT_GENOME141191_12_11
12_12	GUT_GENOME141191_12_12
12_13	GUT_GENOME141191_12_13
12_14	GUT_GENOME141191_12_14
12_15	GUT_GENOME141191_12_15
12_16	GUT_GENOME141191_12_16
12_17	GUT_GENOME141191_12_17
12_18	GUT_GENOME141191_12_18
12_19	GUT_GENOME141191_12_19
12_20	GUT_GENOME141191_12_20
13_1	GUT_GENOME141191_13_1
13_2	GUT_GENOME141191_13_2
13_3	GUT_GENOME141191_13_3
13_4	GUT_GENOME141191_13_4
13_5	GUT_GENOME141191_13_5
13_6	GUT_GENOME141191_13_6
13_7	GUT_GENOME141191_13_7
13_8	GUT_GENOME141191_13_8
13_9	GUT_GENOME141191_13_9
13_10	GUT_GENOME141191_13_10
13_11	GUT_GENOME141191_13_11
13_12	GUT_GENOME141191_13_12
13_13	GUT_GENOME141191_13_13
13_14	GUT_GENOME141191_13_14
13_15	GUT_GENOME141191_13_15
13_16	GUT_GENOME141191_13_16
13_17	GUT_GENOME141191_13_17
13_18	GUT_GENOME141191_13_18
13_19	GUT_GENOME141191_13_19
13_20	GUT_GENOME141191_13_20
13_21	GUT_GENOME141191_13_21
13_22	GUT_GENOME141191_13_22
13_23	GUT_GENOME141191_13_23
13_24	GUT_GENOME141191_13_24
13_25	GUT_GENOME141191_13_25
13_26	GUT_GENOME141191_13_26
13_27	GUT_GENOME141191_13_27
13_28	GUT_GENOME141191_13_28
13_29	GUT_GENOME141191_13_29
13_30	GUT_GENOME141191_13_30
13_31	GUT_GENOME141191_13_31
13_32	GUT_GENOME141191_13_32
13_33	GUT_GENOME141191_13_33
13_34	GUT_GENOME141191_13_34
13_35	GUT_GENOME141191_13_35
13_36	GUT_GENOME141191_13_36
13_37	GUT_GENOME141191_13_37
13_38	GUT_GENOME141191_13_38
13_39	GUT_GENOME141191_13_39
13_40	GUT_GENOME141191_13_40
13_41	GUT_GENOME141191_13_41
13_42	GUT_GENOME141191_13_42
13_43	GUT_GENOME141191_13_43
13_44	GUT_GENOME141191_13_44
14_1	GUT_GENOME141191_14_1
14_2	GUT_GENOME141191_14_2
14_3	GUT_GENOME141191_14_3
14_4	GUT_GENOME141191_14_4
14_5	GUT_GENOME141191_14_5
14_6	GUT_GENOME141191_14_6
14_7	GUT_GENOME141191_14_7
14_8	GUT_GENOME141191_14_8
14_9	GUT_GENOME141191_14_9
14_10	GUT_GENOME141191_14_10
14_11	GUT_GENOME141191_14_11
14_12	GUT_GENOME141191_14_12
14_13	GUT_GENOME141191_14_13
15_1	GUT_GENOME141191_15_1
15_2	GUT_GENOME141191_15_2
15_3	GUT_GENOME141191_15_3
15_4	GUT_GENOME141191_15_4
15_5	GUT_GENOME141191_15_5
15_6	GUT_GENOME141191_15_6
15_7	GUT_GENOME141191_15_7
15_8	GUT_GENOME141191_15_8
15_9	GUT_GENOME141191_15_9
15_10	GUT_GENOME141191_15_10
15_11	GUT_GENOME141191_15_11
15_12	GUT_GENOME141191_15_12
15_13	GUT_GENOME141191_15_13
15_14	GUT_GENOME141191_15_14
15_15	GUT_GENOME141191_15_15
15_16	GUT_GENOME141191_15_16
15_17	GUT_GENOME141191_15_17
15_18	GUT_GENOME141191_15_18
15_19	GUT_GENOME141191_15_19
15_20	GUT_GENOME141191_15_20
15_21	GUT_GENOME141191_15_21
15_22	GUT_GENOME141191_15_22
15_23	GUT_GENOME141191_15_23
15_24	GUT_GENOME141191_15_24
15_25	GUT_GENOME141191_15_25
15_26	GUT_GENOME141191_15_26
15_27	GUT_GENOME141191_15_27
16_1	GUT_GENOME141191_16_1
16_2	GUT_GENOME141191_16_2
16_3	GUT_GENOME141191_16_3
16_4	GUT_GENOME141191_16_4
16_5	GUT_GENOME141191_16_5
16_6	GUT_GENOME141191_16_6
16_7	GUT_GENOME141191_16_7
16_8	GUT_GENOME141191_16_8
16_9	GUT_GENOME141191_16_9
16_10	GUT_GENOME141191_16_10
16_11	GUT_GENOME141191_16_11
16_12	GUT_GENOME141191_16_12
16_13	GUT_GENOME141191_16_13
16_14	GUT_GENOME141191_16_14
16_15	GUT_GENOME141191_16_15
16_16	GUT_GENOME141191_16_16
16_17	GUT_GENOME141191_16_17
16_18	GUT_GENOME141191_16_18
16_19	GUT_GENOME141191_16_19
16_20	GUT_GENOME141191_16_20
16_21	GUT_GENOME141191_16_21
16_22	GUT_GENOME141191_16_22
16_23	GUT_GENOME141191_16_23
16_24	GUT_GENOME141191_16_24
16_25	GUT_GENOME141191_16_25
16_26	GUT_GENOME141191_16_26
16_27	GUT_GENOME141191_16_27
16_28	GUT_GENOME141191_16_28
16_29	GUT_GENOME141191_16_29
16_30	GUT_GENOME141191_16_30
17_1	GUT_GENOME141191_17_1
17_2	GUT_GENOME141191_17_2
17_3	GUT_GENOME141191_17_3
17_4	GUT_GENOME141191_17_4
17_5	GUT_GENOME141191_17_5
17_6	GUT_GENOME141191_17_6
17_7	GUT_GENOME141191_17_7
17_8	GUT_GENOME141191_17_8
17_9	GUT_GENOME141191_17_9
17_10	GUT_GENOME141191_17_10
17_11	GUT_GENOME141191_17_11
17_12	GUT_GENOME141191_17_12
17_13	GUT_GENOME141191_17_13
17_14	GUT_GENOME141191_17_14
17_15	GUT_GENOME141191_17_15
17_16	GUT_GENOME141191_17_16
17_17	GUT_GENOME141191_17_17
17_18	GUT_GENOME141191_17_18
17_19	GUT_GENOME141191_17_19
17_20	GUT_GENOME141191_17_20
17_21	GUT_GENOME141191_17_21
17_22	GUT_GENOME141191_17_22
17_23	GUT_GENOME141191_17_23
17_24	GUT_GENOME141191_17_24
17_25	GUT_GENOME141191_17_25
17_26	GUT_GENOME141191_17_26
17_27	GUT_GENOME141191_17_27
17_28	GUT_GENOME141191_17_28
17_29	GUT_GENOME141191_17_29
17_30	GUT_GENOME141191_17_30
17_31	GUT_GENOME141191_17_31
17_32	GUT_GENOME141191_17_32
17_33	GUT_GENOME141191_17_33
17_34	GUT_GENOME141191_17_34
17_35	GUT_GENOME141191_17_35
17_36	GUT_GENOME141191_17_36
18_1	GUT_GENOME141191_18_1
18_2	GUT_GENOME141191_18_2
18_3	GUT_GENOME141191_18_3
18_4	GUT_GENOME141191_18_4
18_5	GUT_GENOME141191_18_5
18_6	GUT_GENOME141191_18_6
18_7	GUT_GENOME141191_18_7
18_8	GUT_GENOME141191_18_8
18_9	GUT_GENOME141191_18_9
18_10	GUT_GENOME141191_18_10
18_11	GUT_GENOME141191_18_11
18_12	GUT_GENOME141191_18_12
18_13	GUT_GENOME141191_18_13
18_14	GUT_GENOME141191_18_14
18_15	GUT_GENOME141191_18_15
18_16	GUT_GENOME141191_18_16
18_17	GUT_GENOME141191_18_17
18_18	GUT_GENOME141191_18_18
18_19	GUT_GENOME141191_18_19
18_20	GUT_GENOME141191_18_20
18_21	GUT_GENOME141191_18_21
18_22	GUT_GENOME141191_18_22
18_23	GUT_GENOME141191_18_23
18_24	GUT_GENOME141191_18_24
18_25	GUT_GENOME141191_18_25
18_26	GUT_GENOME141191_18_26
18_27	GUT_GENOME141191_18_27
18_28	GUT_GENOME141191_18_28
18_29	GUT_GENOME141191_18_29
18_30	GUT_GENOME141191_18_30
18_31	GUT_GENOME141191_18_31
18_32	GUT_GENOME141191_18_32
18_33	GUT_GENOME141191_18_33
18_34	GUT_GENOME141191_18_34
18_35	GUT_GENOME141191_18_35
18_36	GUT_GENOME141191_18_36
18_37	GUT_GENOME141191_18_37
18_38	GUT_GENOME141191_18_38
18_39	GUT_GENOME141191_18_39
18_40	GUT_GENOME141191_18_40
18_41	GUT_GENOME141191_18_41
18_42	GUT_GENOME141191_18_42
18_43	GUT_GENOME141191_18_43
18_44	GUT_GENOME141191_18_44
18_45	GUT_GENOME141191_18_45
18_46	GUT_GENOME141191_18_46
18_47	GUT_GENOME141191_18_47
18_48	GUT_GENOME141191_18_48
18_49	GUT_GENOME141191_18_49
18_50	GUT_GENOME141191_18_50
18_51	GUT_GENOME141191_18_51
18_52	GUT_GENOME141191_18_52
18_53	GUT_GENOME141191_18_53
18_54	GUT_GENOME141191_18_54
18_55	GUT_GENOME141191_18_55
18_56	GUT_GENOME141191_18_56
18_57	GUT_GENOME141191_18_57
19_1	GUT_GENOME141191_19_1
19_2	GUT_GENOME141191_19_2
19_3	GUT_GENOME141191_19_3
19_4	GUT_GENOME141191_19_4
19_5	GUT_GENOME141191_19_5
19_6	GUT_GENOME141191_19_6
19_7	GUT_GENOME141191_19_7
19_8	GUT_GENOME141191_19_8
19_9	GUT_GENOME141191_19_9
19_10	GUT_GENOME141191_19_10
19_11	GUT_GENOME141191_19_11
20_1	GUT_GENOME141191_20_1
20_2	GUT_GENOME141191_20_2
20_3	GUT_GENOME141191_20_3
20_4	GUT_GENOME141191_20_4
20_5	GUT_GENOME141191_20_5
20_6	GUT_GENOME141191_20_6
20_7	GUT_GENOME141191_20_7
20_8	GUT_GENOME141191_20_8
20_9	GUT_GENOME141191_20_9
20_10	GUT_GENOME141191_20_10
20_11	GUT_GENOME141191_20_11
21_1	GUT_GENOME141191_21_1
21_2	GUT_GENOME141191_21_2
21_3	GUT_GENOME141191_21_3
21_4	GUT_GENOME141191_21_4
21_5	GUT_GENOME141191_21_5
