GUT_GENOME065719_1_1	1_1
GUT_GENOME065719_2_95	2_95
GUT_GENOME065719_2_96	2_96
GUT_GENOME065719_2_97	2_97
GUT_GENOME065719_2_98	2_98
GUT_GENOME065719_2_99	2_99
GUT_GENOME065719_2_100	2_100
GUT_GENOME065719_2_101	2_101
GUT_GENOME065719_2_102	2_102
GUT_GENOME065719_2_103	2_103
GUT_GENOME065719_2_104	2_104
GUT_GENOME065719_2_105	2_105
GUT_GENOME065719_2_106	2_106
GUT_GENOME065719_2_107	2_107
GUT_GENOME065719_2_108	2_108
GUT_GENOME065719_2_109	2_109
GUT_GENOME065719_2_110	2_110
GUT_GENOME065719_2_111	2_111
GUT_GENOME065719_2_112	2_112
GUT_GENOME065719_2_113	2_113
GUT_GENOME065719_2_114	2_114
GUT_GENOME065719_2_115	2_115
GUT_GENOME065719_2_116	2_116
GUT_GENOME065719_2_117	2_117
GUT_GENOME065719_2_118	2_118
GUT_GENOME065719_2_119	2_119
GUT_GENOME065719_2_120	2_120
GUT_GENOME065719_2_121	2_121
GUT_GENOME065719_2_122	2_122
GUT_GENOME065719_2_123	2_123
GUT_GENOME065719_2_124	2_124
GUT_GENOME065719_2_125	2_125
GUT_GENOME065719_2_126	2_126
GUT_GENOME065719_3_1	3_1
GUT_GENOME065719_3_2	3_2
GUT_GENOME065719_3_3	3_3
GUT_GENOME065719_3_4	3_4
GUT_GENOME065719_3_5	3_5
GUT_GENOME065719_3_6	3_6
GUT_GENOME065719_3_7	3_7
GUT_GENOME065719_3_8	3_8
GUT_GENOME065719_3_9	3_9
GUT_GENOME065719_3_10	3_10
GUT_GENOME065719_3_11	3_11
GUT_GENOME065719_3_12	3_12
GUT_GENOME065719_3_13	3_13
GUT_GENOME065719_3_14	3_14
GUT_GENOME065719_3_15	3_15
GUT_GENOME065719_3_16	3_16
GUT_GENOME065719_3_17	3_17
GUT_GENOME065719_3_18	3_18
GUT_GENOME065719_3_19	3_19
GUT_GENOME065719_3_20	3_20
GUT_GENOME065719_3_21	3_21
GUT_GENOME065719_3_22	3_22
GUT_GENOME065719_3_23	3_23
GUT_GENOME065719_3_24	3_24
GUT_GENOME065719_3_25	3_25
GUT_GENOME065719_3_26	3_26
GUT_GENOME065719_3_27	3_27
GUT_GENOME065719_3_28	3_28
GUT_GENOME065719_3_29	3_29
GUT_GENOME065719_3_30	3_30
GUT_GENOME065719_3_31	3_31
GUT_GENOME065719_3_32	3_32
GUT_GENOME065719_3_33	3_33
GUT_GENOME065719_3_34	3_34
GUT_GENOME065719_3_35	3_35
GUT_GENOME065719_3_36	3_36
GUT_GENOME065719_3_37	3_37
GUT_GENOME065719_3_38	3_38
GUT_GENOME065719_3_39	3_39
GUT_GENOME065719_3_40	3_40
GUT_GENOME065719_3_41	3_41
GUT_GENOME065719_3_42	3_42
GUT_GENOME065719_3_43	3_43
GUT_GENOME065719_3_44	3_44
GUT_GENOME065719_3_45	3_45
GUT_GENOME065719_3_46	3_46
GUT_GENOME065719_3_47	3_47
GUT_GENOME065719_3_48	3_48
GUT_GENOME065719_3_49	3_49
GUT_GENOME065719_3_50	3_50
GUT_GENOME065719_3_51	3_51
GUT_GENOME065719_3_52	3_52
GUT_GENOME065719_3_53	3_53
GUT_GENOME065719_3_54	3_54
GUT_GENOME065719_3_55	3_55
GUT_GENOME065719_3_56	3_56
GUT_GENOME065719_3_57	3_57
GUT_GENOME065719_3_58	3_58
GUT_GENOME065719_3_59	3_59
GUT_GENOME065719_3_60	3_60
GUT_GENOME065719_3_61	3_61
GUT_GENOME065719_3_62	3_62
GUT_GENOME065719_3_63	3_63
GUT_GENOME065719_3_64	3_64
GUT_GENOME065719_3_65	3_65
GUT_GENOME065719_3_66	3_66
GUT_GENOME065719_3_67	3_67
GUT_GENOME065719_3_68	3_68
GUT_GENOME065719_3_69	3_69
GUT_GENOME065719_3_70	3_70
GUT_GENOME065719_3_71	3_71
GUT_GENOME065719_3_72	3_72
GUT_GENOME065719_3_73	3_73
GUT_GENOME065719_3_74	3_74
GUT_GENOME065719_3_75	3_75
GUT_GENOME065719_4_1	4_1
GUT_GENOME065719_4_2	4_2
GUT_GENOME065719_4_3	4_3
GUT_GENOME065719_4_4	4_4
GUT_GENOME065719_4_5	4_5
GUT_GENOME065719_4_6	4_6
GUT_GENOME065719_4_7	4_7
GUT_GENOME065719_4_8	4_8
GUT_GENOME065719_4_9	4_9
GUT_GENOME065719_4_10	4_10
GUT_GENOME065719_4_11	4_11
GUT_GENOME065719_4_12	4_12
GUT_GENOME065719_4_13	4_13
GUT_GENOME065719_4_14	4_14
GUT_GENOME065719_4_15	4_15
GUT_GENOME065719_4_16	4_16
GUT_GENOME065719_4_17	4_17
GUT_GENOME065719_4_18	4_18
GUT_GENOME065719_4_19	4_19
GUT_GENOME065719_4_20	4_20
GUT_GENOME065719_4_21	4_21
GUT_GENOME065719_4_22	4_22
GUT_GENOME065719_4_23	4_23
GUT_GENOME065719_4_24	4_24
GUT_GENOME065719_4_25	4_25
GUT_GENOME065719_4_26	4_26
GUT_GENOME065719_4_27	4_27
GUT_GENOME065719_4_28	4_28
GUT_GENOME065719_4_29	4_29
GUT_GENOME065719_4_30	4_30
GUT_GENOME065719_4_31	4_31
GUT_GENOME065719_4_32	4_32
GUT_GENOME065719_4_33	4_33
GUT_GENOME065719_4_34	4_34
GUT_GENOME065719_4_35	4_35
GUT_GENOME065719_4_36	4_36
GUT_GENOME065719_4_37	4_37
GUT_GENOME065719_4_38	4_38
GUT_GENOME065719_4_39	4_39
GUT_GENOME065719_4_40	4_40
GUT_GENOME065719_4_41	4_41
GUT_GENOME065719_4_42	4_42
GUT_GENOME065719_4_43	4_43
GUT_GENOME065719_4_44	4_44
GUT_GENOME065719_4_45	4_45
GUT_GENOME065719_4_46	4_46
GUT_GENOME065719_4_47	4_47
GUT_GENOME065719_4_48	4_48
GUT_GENOME065719_4_49	4_49
GUT_GENOME065719_4_50	4_50
GUT_GENOME065719_4_51	4_51
GUT_GENOME065719_4_52	4_52
GUT_GENOME065719_4_53	4_53
GUT_GENOME065719_4_54	4_54
GUT_GENOME065719_4_55	4_55
GUT_GENOME065719_4_56	4_56
GUT_GENOME065719_4_57	4_57
GUT_GENOME065719_4_58	4_58
GUT_GENOME065719_4_59	4_59
GUT_GENOME065719_4_60	4_60
GUT_GENOME065719_4_61	4_61
GUT_GENOME065719_4_62	4_62
GUT_GENOME065719_4_63	4_63
GUT_GENOME065719_5_1	5_1
GUT_GENOME065719_5_2	5_2
GUT_GENOME065719_5_3	5_3
GUT_GENOME065719_5_4	5_4
GUT_GENOME065719_5_5	5_5
GUT_GENOME065719_5_6	5_6
GUT_GENOME065719_5_7	5_7
GUT_GENOME065719_5_8	5_8
GUT_GENOME065719_5_9	5_9
GUT_GENOME065719_5_10	5_10
GUT_GENOME065719_5_11	5_11
GUT_GENOME065719_5_12	5_12
GUT_GENOME065719_5_13	5_13
GUT_GENOME065719_5_14	5_14
GUT_GENOME065719_5_15	5_15
GUT_GENOME065719_5_16	5_16
GUT_GENOME065719_5_17	5_17
GUT_GENOME065719_5_18	5_18
GUT_GENOME065719_5_19	5_19
GUT_GENOME065719_5_20	5_20
GUT_GENOME065719_5_21	5_21
GUT_GENOME065719_5_22	5_22
GUT_GENOME065719_5_23	5_23
GUT_GENOME065719_5_24	5_24
GUT_GENOME065719_5_25	5_25
GUT_GENOME065719_5_26	5_26
GUT_GENOME065719_5_27	5_27
GUT_GENOME065719_5_28	5_28
GUT_GENOME065719_5_29	5_29
GUT_GENOME065719_5_30	5_30
GUT_GENOME065719_5_31	5_31
GUT_GENOME065719_5_32	5_32
GUT_GENOME065719_5_33	5_33
GUT_GENOME065719_5_34	5_34
GUT_GENOME065719_5_35	5_35
GUT_GENOME065719_5_36	5_36
GUT_GENOME065719_5_37	5_37
GUT_GENOME065719_5_38	5_38
GUT_GENOME065719_5_39	5_39
GUT_GENOME065719_5_40	5_40
GUT_GENOME065719_5_41	5_41
GUT_GENOME065719_5_42	5_42
GUT_GENOME065719_5_43	5_43
GUT_GENOME065719_5_44	5_44
GUT_GENOME065719_5_45	5_45
GUT_GENOME065719_5_46	5_46
GUT_GENOME065719_5_47	5_47
GUT_GENOME065719_5_48	5_48
GUT_GENOME065719_5_49	5_49
GUT_GENOME065719_5_50	5_50
GUT_GENOME065719_6_1	6_1
GUT_GENOME065719_6_2	6_2
GUT_GENOME065719_6_3	6_3
GUT_GENOME065719_6_4	6_4
GUT_GENOME065719_6_5	6_5
GUT_GENOME065719_6_6	6_6
GUT_GENOME065719_6_7	6_7
GUT_GENOME065719_6_8	6_8
GUT_GENOME065719_6_9	6_9
GUT_GENOME065719_6_10	6_10
GUT_GENOME065719_6_11	6_11
GUT_GENOME065719_6_12	6_12
GUT_GENOME065719_6_13	6_13
GUT_GENOME065719_6_14	6_14
GUT_GENOME065719_6_15	6_15
GUT_GENOME065719_6_16	6_16
GUT_GENOME065719_6_17	6_17
GUT_GENOME065719_6_18	6_18
GUT_GENOME065719_6_19	6_19
GUT_GENOME065719_6_20	6_20
GUT_GENOME065719_6_21	6_21
GUT_GENOME065719_6_22	6_22
GUT_GENOME065719_6_23	6_23
GUT_GENOME065719_6_24	6_24
GUT_GENOME065719_6_25	6_25
GUT_GENOME065719_6_26	6_26
GUT_GENOME065719_6_27	6_27
GUT_GENOME065719_6_28	6_28
GUT_GENOME065719_6_29	6_29
GUT_GENOME065719_6_30	6_30
GUT_GENOME065719_6_31	6_31
GUT_GENOME065719_6_32	6_32
GUT_GENOME065719_6_33	6_33
GUT_GENOME065719_6_34	6_34
GUT_GENOME065719_6_35	6_35
GUT_GENOME065719_6_36	6_36
GUT_GENOME065719_6_37	6_37
GUT_GENOME065719_6_38	6_38
GUT_GENOME065719_6_39	6_39
GUT_GENOME065719_6_40	6_40
GUT_GENOME065719_6_41	6_41
GUT_GENOME065719_6_42	6_42
GUT_GENOME065719_6_43	6_43
GUT_GENOME065719_6_44	6_44
GUT_GENOME065719_6_45	6_45
GUT_GENOME065719_6_46	6_46
GUT_GENOME065719_6_47	6_47
GUT_GENOME065719_6_48	6_48
GUT_GENOME065719_6_49	6_49
GUT_GENOME065719_6_50	6_50
GUT_GENOME065719_6_51	6_51
GUT_GENOME065719_6_52	6_52
GUT_GENOME065719_6_53	6_53
GUT_GENOME065719_6_54	6_54
GUT_GENOME065719_7_1	7_1
GUT_GENOME065719_7_2	7_2
GUT_GENOME065719_7_3	7_3
GUT_GENOME065719_7_4	7_4
GUT_GENOME065719_7_5	7_5
GUT_GENOME065719_7_6	7_6
GUT_GENOME065719_7_7	7_7
GUT_GENOME065719_7_8	7_8
GUT_GENOME065719_7_9	7_9
GUT_GENOME065719_7_10	7_10
GUT_GENOME065719_7_11	7_11
GUT_GENOME065719_7_12	7_12
GUT_GENOME065719_7_13	7_13
GUT_GENOME065719_7_14	7_14
GUT_GENOME065719_7_15	7_15
GUT_GENOME065719_7_16	7_16
GUT_GENOME065719_7_17	7_17
GUT_GENOME065719_7_18	7_18
GUT_GENOME065719_7_19	7_19
GUT_GENOME065719_7_20	7_20
GUT_GENOME065719_7_21	7_21
GUT_GENOME065719_7_22	7_22
GUT_GENOME065719_7_23	7_23
GUT_GENOME065719_7_24	7_24
GUT_GENOME065719_7_25	7_25
GUT_GENOME065719_7_26	7_26
GUT_GENOME065719_7_27	7_27
GUT_GENOME065719_7_28	7_28
GUT_GENOME065719_7_29	7_29
GUT_GENOME065719_7_30	7_30
GUT_GENOME065719_7_31	7_31
GUT_GENOME065719_7_32	7_32
GUT_GENOME065719_7_33	7_33
GUT_GENOME065719_7_34	7_34
GUT_GENOME065719_7_35	7_35
GUT_GENOME065719_7_36	7_36
GUT_GENOME065719_7_37	7_37
GUT_GENOME065719_8_1	8_1
GUT_GENOME065719_8_2	8_2
GUT_GENOME065719_8_3	8_3
GUT_GENOME065719_8_4	8_4
GUT_GENOME065719_8_5	8_5
GUT_GENOME065719_8_6	8_6
GUT_GENOME065719_8_7	8_7
GUT_GENOME065719_8_8	8_8
GUT_GENOME065719_8_9	8_9
GUT_GENOME065719_8_10	8_10
GUT_GENOME065719_8_11	8_11
GUT_GENOME065719_8_12	8_12
GUT_GENOME065719_8_13	8_13
GUT_GENOME065719_8_14	8_14
GUT_GENOME065719_8_15	8_15
GUT_GENOME065719_8_16	8_16
GUT_GENOME065719_8_17	8_17
GUT_GENOME065719_8_18	8_18
GUT_GENOME065719_8_19	8_19
GUT_GENOME065719_8_20	8_20
GUT_GENOME065719_8_21	8_21
GUT_GENOME065719_8_22	8_22
GUT_GENOME065719_8_23	8_23
GUT_GENOME065719_8_24	8_24
GUT_GENOME065719_8_25	8_25
GUT_GENOME065719_8_26	8_26
GUT_GENOME065719_8_27	8_27
GUT_GENOME065719_8_28	8_28
GUT_GENOME065719_8_29	8_29
GUT_GENOME065719_8_30	8_30
GUT_GENOME065719_8_31	8_31
GUT_GENOME065719_8_32	8_32
GUT_GENOME065719_8_33	8_33
GUT_GENOME065719_8_34	8_34
GUT_GENOME065719_8_35	8_35
GUT_GENOME065719_8_36	8_36
GUT_GENOME065719_8_37	8_37
GUT_GENOME065719_8_38	8_38
GUT_GENOME065719_8_39	8_39
GUT_GENOME065719_8_40	8_40
GUT_GENOME065719_8_41	8_41
GUT_GENOME065719_8_42	8_42
GUT_GENOME065719_8_43	8_43
GUT_GENOME065719_8_44	8_44
GUT_GENOME065719_8_45	8_45
GUT_GENOME065719_8_46	8_46
GUT_GENOME065719_8_47	8_47
GUT_GENOME065719_8_48	8_48
GUT_GENOME065719_8_49	8_49
GUT_GENOME065719_9_1	9_1
GUT_GENOME065719_9_2	9_2
GUT_GENOME065719_9_3	9_3
GUT_GENOME065719_9_4	9_4
GUT_GENOME065719_9_5	9_5
GUT_GENOME065719_9_6	9_6
GUT_GENOME065719_9_7	9_7
GUT_GENOME065719_9_8	9_8
GUT_GENOME065719_9_9	9_9
GUT_GENOME065719_9_10	9_10
GUT_GENOME065719_9_11	9_11
GUT_GENOME065719_9_12	9_12
GUT_GENOME065719_9_13	9_13
GUT_GENOME065719_9_14	9_14
GUT_GENOME065719_9_15	9_15
GUT_GENOME065719_9_16	9_16
GUT_GENOME065719_9_17	9_17
GUT_GENOME065719_9_18	9_18
GUT_GENOME065719_9_19	9_19
GUT_GENOME065719_9_20	9_20
GUT_GENOME065719_9_21	9_21
GUT_GENOME065719_9_22	9_22
GUT_GENOME065719_9_23	9_23
GUT_GENOME065719_9_24	9_24
GUT_GENOME065719_9_25	9_25
GUT_GENOME065719_9_26	9_26
GUT_GENOME065719_9_27	9_27
GUT_GENOME065719_9_28	9_28
GUT_GENOME065719_9_29	9_29
GUT_GENOME065719_9_30	9_30
GUT_GENOME065719_9_31	9_31
GUT_GENOME065719_9_32	9_32
GUT_GENOME065719_9_33	9_33
GUT_GENOME065719_9_34	9_34
GUT_GENOME065719_9_35	9_35
GUT_GENOME065719_9_36	9_36
GUT_GENOME065719_9_37	9_37
GUT_GENOME065719_9_38	9_38
GUT_GENOME065719_9_39	9_39
GUT_GENOME065719_9_40	9_40
GUT_GENOME065719_10_1	10_1
GUT_GENOME065719_10_2	10_2
GUT_GENOME065719_10_3	10_3
GUT_GENOME065719_10_4	10_4
GUT_GENOME065719_10_5	10_5
GUT_GENOME065719_10_6	10_6
GUT_GENOME065719_10_7	10_7
GUT_GENOME065719_10_8	10_8
GUT_GENOME065719_10_9	10_9
GUT_GENOME065719_10_10	10_10
GUT_GENOME065719_10_11	10_11
GUT_GENOME065719_10_12	10_12
GUT_GENOME065719_10_13	10_13
GUT_GENOME065719_10_14	10_14
GUT_GENOME065719_10_15	10_15
GUT_GENOME065719_10_16	10_16
GUT_GENOME065719_10_17	10_17
GUT_GENOME065719_10_18	10_18
GUT_GENOME065719_10_19	10_19
GUT_GENOME065719_10_20	10_20
GUT_GENOME065719_10_21	10_21
GUT_GENOME065719_10_22	10_22
GUT_GENOME065719_10_23	10_23
GUT_GENOME065719_10_24	10_24
GUT_GENOME065719_10_25	10_25
GUT_GENOME065719_10_26	10_26
GUT_GENOME065719_10_27	10_27
GUT_GENOME065719_10_28	10_28
GUT_GENOME065719_10_29	10_29
GUT_GENOME065719_10_30	10_30
GUT_GENOME065719_10_31	10_31
GUT_GENOME065719_10_32	10_32
GUT_GENOME065719_10_33	10_33
GUT_GENOME065719_10_34	10_34
GUT_GENOME065719_10_35	10_35
GUT_GENOME065719_10_36	10_36
GUT_GENOME065719_10_37	10_37
GUT_GENOME065719_10_38	10_38
GUT_GENOME065719_10_39	10_39
GUT_GENOME065719_10_40	10_40
GUT_GENOME065719_10_41	10_41
GUT_GENOME065719_10_42	10_42
GUT_GENOME065719_10_43	10_43
GUT_GENOME065719_10_44	10_44
GUT_GENOME065719_10_45	10_45
GUT_GENOME065719_10_46	10_46
GUT_GENOME065719_10_47	10_47
GUT_GENOME065719_11_1	11_1
GUT_GENOME065719_11_2	11_2
GUT_GENOME065719_11_3	11_3
GUT_GENOME065719_11_4	11_4
GUT_GENOME065719_11_5	11_5
GUT_GENOME065719_11_6	11_6
GUT_GENOME065719_11_7	11_7
GUT_GENOME065719_11_8	11_8
GUT_GENOME065719_11_9	11_9
GUT_GENOME065719_11_10	11_10
GUT_GENOME065719_11_11	11_11
GUT_GENOME065719_11_12	11_12
GUT_GENOME065719_11_13	11_13
GUT_GENOME065719_11_14	11_14
GUT_GENOME065719_11_15	11_15
GUT_GENOME065719_11_16	11_16
GUT_GENOME065719_11_17	11_17
GUT_GENOME065719_11_18	11_18
GUT_GENOME065719_11_19	11_19
GUT_GENOME065719_11_20	11_20
GUT_GENOME065719_11_21	11_21
GUT_GENOME065719_11_22	11_22
GUT_GENOME065719_11_23	11_23
GUT_GENOME065719_11_24	11_24
GUT_GENOME065719_11_25	11_25
GUT_GENOME065719_11_26	11_26
GUT_GENOME065719_11_27	11_27
GUT_GENOME065719_11_28	11_28
GUT_GENOME065719_11_29	11_29
GUT_GENOME065719_11_30	11_30
GUT_GENOME065719_11_31	11_31
GUT_GENOME065719_11_32	11_32
GUT_GENOME065719_11_33	11_33
GUT_GENOME065719_11_34	11_34
GUT_GENOME065719_11_35	11_35
GUT_GENOME065719_11_36	11_36
GUT_GENOME065719_11_37	11_37
GUT_GENOME065719_11_38	11_38
GUT_GENOME065719_12_1	12_1
GUT_GENOME065719_12_2	12_2
GUT_GENOME065719_12_3	12_3
GUT_GENOME065719_12_4	12_4
GUT_GENOME065719_12_5	12_5
GUT_GENOME065719_12_6	12_6
GUT_GENOME065719_12_7	12_7
GUT_GENOME065719_12_8	12_8
GUT_GENOME065719_12_9	12_9
GUT_GENOME065719_12_10	12_10
GUT_GENOME065719_12_11	12_11
GUT_GENOME065719_12_12	12_12
GUT_GENOME065719_12_13	12_13
GUT_GENOME065719_12_14	12_14
GUT_GENOME065719_12_15	12_15
GUT_GENOME065719_12_16	12_16
GUT_GENOME065719_12_17	12_17
GUT_GENOME065719_12_18	12_18
GUT_GENOME065719_12_19	12_19
GUT_GENOME065719_12_20	12_20
GUT_GENOME065719_12_21	12_21
GUT_GENOME065719_12_22	12_22
GUT_GENOME065719_12_23	12_23
GUT_GENOME065719_12_24	12_24
GUT_GENOME065719_12_25	12_25
GUT_GENOME065719_12_26	12_26
GUT_GENOME065719_12_27	12_27
GUT_GENOME065719_12_28	12_28
GUT_GENOME065719_12_29	12_29
GUT_GENOME065719_12_30	12_30
GUT_GENOME065719_12_31	12_31
GUT_GENOME065719_12_32	12_32
GUT_GENOME065719_12_33	12_33
GUT_GENOME065719_12_34	12_34
GUT_GENOME065719_12_35	12_35
GUT_GENOME065719_12_36	12_36
GUT_GENOME065719_12_37	12_37
GUT_GENOME065719_12_38	12_38
GUT_GENOME065719_12_39	12_39
GUT_GENOME065719_12_40	12_40
GUT_GENOME065719_12_41	12_41
GUT_GENOME065719_12_42	12_42
GUT_GENOME065719_12_43	12_43
GUT_GENOME065719_12_44	12_44
GUT_GENOME065719_12_45	12_45
GUT_GENOME065719_12_46	12_46
GUT_GENOME065719_12_47	12_47
GUT_GENOME065719_12_48	12_48
GUT_GENOME065719_13_1	13_1
GUT_GENOME065719_13_2	13_2
GUT_GENOME065719_13_3	13_3
GUT_GENOME065719_13_4	13_4
GUT_GENOME065719_13_5	13_5
GUT_GENOME065719_13_6	13_6
GUT_GENOME065719_13_7	13_7
GUT_GENOME065719_13_8	13_8
GUT_GENOME065719_13_9	13_9
GUT_GENOME065719_13_10	13_10
GUT_GENOME065719_13_11	13_11
GUT_GENOME065719_13_12	13_12
GUT_GENOME065719_13_13	13_13
GUT_GENOME065719_13_14	13_14
GUT_GENOME065719_13_15	13_15
GUT_GENOME065719_13_16	13_16
GUT_GENOME065719_13_17	13_17
